Название города;Регион;Округ;Широта;Долгота
Хмельницкий;Хмельницкая область;Центральная Украина;49.416668;27
Каменец-Подольский;Хмельницкая область;Центральная Украина;48.683334;26.583332
Нетишин;Хмельницкая область;Центральная Украина;50.346695;26.633587
Славута;Хмельницкая область;Центральная Украина;50.299999;26.866667
Староконстантинов;Хмельницкая область;Центральная Украина;49.755554;27.220833
Шепетовка;Хмельницкая область;Центральная Украина;50.182003;27.066854
Волочиск;Хмельницкая область;Центральная Украина;49.528984;26.208408
Городок;Хмельницкая область;Центральная Украина;49.163685;26.578232
Деражня;Хмельницкая область;Центральная Украина;49.266666;27.433332
Дунаевцы;Хмельницкая область;Центральная Украина;48.890911;26.849583
Изяслав;Хмельницкая область;Центральная Украина;50.118732;26.838671
Красилов;Хмельницкая область;Центральная Украина;49.651943;26.970556
Полонное;Хмельницкая область;Центральная Украина;50.116669;27.516666
Летичев;Хмельницкая область;Центральная Украина;49.383331;27.616667
Теофиполь;Хмельницкая область;Центральная Украина;49.841946;26.411943
Житомир;Житомирская область;Центральная Украина;50.25;28.666668
Бердичев;Житомирская область;Центральная Украина;49.907902;28.587934
Коростень;Житомирская область;Центральная Украина;50.96183;28.635452
Новоград-Волынский;Житомирская область;Центральная Украина;50.583332;27.633333
Малин;Житомирская область;Центральная Украина;50.770515;29.258142
Овруч;Житомирская область;Центральная Украина;51.327831;28.813343
Олевск;Житомирская область;Центральная Украина;51.223362;27.638645
Радомышль;Житомирская область;Центральная Украина;50.496059;29.236578
Емильчино;Житомирская область;Центральная Украина;50.872223;27.807777
Попельня;Житомирская область;Центральная Украина;49.966389;29.443333
Винница;Винницкая область;Центральная Украина;49.233334;28.483334
Могилёв-Подольский;Винницкая область;Центральная Украина;48.450001;27.799999
Хмельник;Винницкая область;Центральная Украина;49.559605;27.957466
Казатин;Винницкая область;Центральная Украина;49.720551;28.84907
Ладыжин;Винницкая область;Центральная Украина;48.672398;29.264328
Калиновка;Винницкая область;Центральная Украина;49.451698;28.52494
Погребище;Винницкая область;Центральная Украина;49.48634;29.270048
Белая Церковь;Киевская область;Центральная Украина;49.801945;30.115196
Бровары;Киевская область;Центральная Украина;50.516666;30.816668
Борисполь;Киевская область;Центральная Украина;50.359451;30.974171
Вишнёвое;Киевская область;Центральная Украина;50.386944;30.358055
Фастов;Киевская область;Центральная Украина;50.080322;29.915285
Буча;Киевская область;Центральная Украина;50.557365;30.226593
Васильков;Киевская область;Центральная Украина;50.178333;30.315832
Ирпень;Киевская область;Центральная Украина;50.521523;30.247663
Боярка;Киевская область;Центральная Украина;50.329166;30.28861
Обухов;Киевская область;Центральная Украина;50.103436;30.636269
Переяслав-Хмельницкий;Киевская область;Центральная Украина;50.066113;31.442223
Славутич;Киевская область;Центральная Украина;51.521736;30.766966
Яготин;Киевская область;Центральная Украина;50.276413;31.761362
Украинка;Киевская область;Центральная Украина;50.153088;30.743492
Вышгород;Киевская область;Центральная Украина;50.583332;30.5
Богуслав;Киевская область;Центральная Украина;49.546665;30.872778
Коцюбинское;Киевская область;Центральная Украина;51;30
Кагарлык;Киевская область;Центральная Украина;49.862064;30.819241
Гостомель;Киевская область;Центральная Украина;50.569168;30.265278
Чернигов;Черниговская область;Центральная Украина;51.5;31.299999
Нежин;Черниговская область;Центральная Украина;51.038055;31.88611
Прилуки;Черниговская область;Центральная Украина;50.595543;32.384563
Бахмач;Черниговская область;Центральная Украина;51.183056;32.829723
Носовка;Черниговская область;Центральная Украина;50.933334;31.583332
Городня;Черниговская область;Центральная Украина;51.890556;31.593611
Ичня;Черниговская область;Центральная Украина;50.85828;32.375816
Щорс;Черниговская область;Центральная Украина;51.816666;31.950001
Варва;Черниговская область;Центральная Украина;50.494999;32.72361
Козелец;Черниговская область;Центральная Украина;50.910767;31.10815
Репки;Черниговская область;Центральная Украина;51.800476;31.096655
Десна;Черниговская область;Центральная Украина;50.924667;30.756001
Куликовка;Черниговская область;Центральная Украина;51.374722;31.643612
Сумы;Сумская область;Центральная Украина;50.894405;34.8106
Конотоп;Сумская область;Центральная Украина;51.240944;33.205051
Шостка;Сумская область;Центральная Украина;51.866669;33.483334
Ахтырка;Сумская область;Центральная Украина;50.295891;34.913322
Ромны;Сумская область;Центральная Украина;50.745621;33.491516
Глухов;Сумская область;Центральная Украина;51.678612;33.911388
Лебедин;Сумская область;Центральная Украина;50.579723;34.477222
Кролевец;Сумская область;Центральная Украина;51.549999;33.383331
Бурынь;Сумская область;Центральная Украина;51.204182;33.825142
Воронеж;Сумская область;Центральная Украина;51.769001;33.471912
Свесса;Сумская область;Центральная Украина;51.947453;33.933449
Полтава;Полтавская область;Центральная Украина;49.595348;34.562946
Кременчуг;Полтавская область;Центральная Украина;49.107807;33.419868
Комсомольск;Полтавская область;Центральная Украина;49.014851;33.638905
Лубны;Полтавская область;Центральная Украина;50.016666;33
Миргород;Полтавская область;Центральная Украина;49.966667;33.599998
Гадяч;Полтавская область;Центральная Украина;50.370434;34.000988
Карловка;Полтавская область;Центральная Украина;49.450001;35.133331
Пирятин;Полтавская область;Центральная Украина;50.237392;32.503929
Гребёнка;Полтавская область;Центральная Украина;50.118309;32.452206
Черкассы;Черкасская область;Центральная Украина;49.433334;32.066666
Умань;Черкасская область;Центральная Украина;48.75;30.216667
Смела;Черкасская область;Центральная Украина;49.213188;31.874636
Золотоноша;Черкасская область;Центральная Украина;49.671642;32.039875
Канев;Черкасская область;Центральная Украина;49.75;31.466667
Корсунь-Шевченковский;Черкасская область;Центральная Украина;49.427689;31.280434
Каменка;Черкасская область;Центральная Украина;49.030647;32.115093
Чернобай;Черкасская область;Центральная Украина;49.670555;32.323055
Кировоград;Кировоградская область;Центральная Украина;48.521519;32.245037
Александрия;Кировоградская область;Центральная Украина;48.671577;33.095905
Светловодск;Кировоградская область;Центральная Украина;49.050323;33.224224
Долинская;Кировоградская область;Центральная Украина;48.111141;32.764771
Знаменка;Кировоградская область;Центральная Украина;48.713612;32.673332
Помошная;Кировоградская область;Центральная Украина;48.25;31.416668
Александровка;Кировоградская область;Центральная Украина;48.726391;33.302223
Новоархангельск;Кировоградская область;Центральная Украина;48.65889;30.818611
Киев;Киев;Центральная Украина;50.450001;30.523333
Луцк;Волынская область;Западная Украина;50.75;25.335833
Ковель;Волынская область;Западная Украина;51.21423;24.709341
Нововолынск;Волынская область;Западная Украина;50.733334;24.166668
Владимир-Волынский;Волынская область;Западная Украина;50.848057;24.322222
Рожище;Волынская область;Западная Украина;50.896946;25.263649
Шацк;Волынская область;Западная Украина;51.508942;23.942455
Старая Выжевка;Волынская область;Западная Украина;51.440834;24.431667
Ровно;Ровненская область;Западная Украина;50.6199;26.251617
Кузнецовск;Ровненская область;Западная Украина;51.343655;25.849087
Костополь;Ровненская область;Западная Украина;50.883331;26.450001
Сарны;Ровненская область;Западная Украина;51.337223;26.605833
Здолбунов;Ровненская область;Западная Украина;50.513374;26.261707
Дубровица;Ровненская область;Западная Украина;51.566174;26.559423
Клевань;Ровненская область;Западная Украина;50.745834;26.012501
Рокитное;Ровненская область;Западная Украина;51.261391;27.224443
Заречное;Ровненская область;Западная Украина;51.808849;26.122766
Львов;Львовская область;Западная Украина;49.849998;24.016666
Дрогобыч;Львовская область;Западная Украина;49.349567;23.521914
Червоноград;Львовская область;Западная Украина;50.386303;24.227007
Стрый;Львовская область;Западная Украина;49.25573;23.846489
Борислав;Львовская область;Западная Украина;49.283333;23.416668
Трускавец;Львовская область;Западная Украина;49.280556;23.504999
Новый Раздол;Львовская область;Западная Украина;49.471943;24.133333
Золочев;Львовская область;Западная Украина;49.808334;24.901112
Броды;Львовская область;Западная Украина;50.083332;25.15
Сокаль;Львовская область;Западная Украина;50.483334;24.283333
Городок;Львовская область;Западная Украина;49.782223;23.643612
Николаев;Львовская область;Западная Украина;49.524906;23.990086
Жолква;Львовская область;Западная Украина;50.058773;23.978102
Яворов;Львовская область;Западная Украина;49.946945;23.393057
Жидачов;Львовская область;Западная Украина;49.38139;24.140833
Каменка Бугская;Львовская область;Западная Украина;50.099998;24.35
Тернополь;Тернопольская область;Западная Украина;49.566666;25.6
Чортков;Тернопольская область;Западная Украина;49.016666;25.799999
Кременец;Тернопольская область;Западная Украина;50.11972;25.716667
Бережаны;Тернопольская область;Западная Украина;49.441257;24.942978
Збараж;Тернопольская область;Западная Украина;49.666668;25.777779
Бучач;Тернопольская область;Западная Украина;49.064831;25.381716
Козова;Тернопольская область;Западная Украина;49.433105;25.154863
Монастыриска;Тернопольская область;Западная Украина;49.08889;25.169443
Ивано-Франковск;Ивано-Франковская область;Западная Украина;48.916668;24.716667
Калуш;Ивано-Франковская область;Западная Украина;49.044167;24.359722
Коломыя;Ивано-Франковская область;Западная Украина;48.530556;25.040277
Бурштын;Ивано-Франковская область;Западная Украина;49.263626;24.630482
Болехов;Ивано-Франковская область;Западная Украина;49.068249;23.859747
Снятын;Ивано-Франковская область;Западная Украина;48.450001;25.566668
Городенка;Ивано-Франковская область;Западная Украина;48.6675;25.500278
Тлумач;Ивано-Франковская область;Западная Украина;48.862583;24.998564
Косов;Ивано-Франковская область;Западная Украина;48.314999;25.095278
Рогатин;Ивано-Франковская область;Западная Украина;49.411449;24.62051
Яремче;Ивано-Франковская область;Западная Украина;48.460278;24.558611
Богородчаны;Ивано-Франковская область;Западная Украина;48.808056;24.538055
Ужгород;Закарпатская область;Западная Украина;48.618626;22.298758
Мукачево;Закарпатская область;Западная Украина;48.429031;22.70582
Хуст;Закарпатская область;Западная Украина;48.181389;23.297777
Виноградов;Закарпатская область;Западная Украина;48.149723;23.025
Берегово;Закарпатская область;Западная Украина;48.200001;22.633333
Свалява;Закарпатская область;Западная Украина;48.54789;23.001602
Рахов;Закарпатская область;Западная Украина;48.061604;24.209749
Тячев;Закарпатская область;Западная Украина;48.015438;23.570059
Иршава;Закарпатская область;Западная Украина;48.310059;23.042372
Королёво;Закарпатская область;Западная Украина;48.150002;23.133333
Черновцы;Черновицкая область;Западная Украина;48.299999;25.933332
Сторожинец;Черновицкая область;Западная Украина;48.158745;25.716639
Новоднестровск;Черновицкая область;Западная Украина;48.573952;27.443825
Сокиряны;Черновицкая область;Западная Украина;48.450001;27.416668
Глыбокая;Черновицкая область;Западная Украина;48.085274;25.931515
Кельменцы;Черновицкая область;Западная Украина;48.463333;26.829166
Кицмань;Черновицкая область;Западная Украина;48.441223;25.764149
Харьков;Харьковская область;Восточная Украина;49.948071;36.212299
Лозовая;Харьковская область;Восточная Украина;48.890392;36.311512
Купянск;Харьковская область;Восточная Украина;49.705334;37.598869
Изюм;Харьковская область;Восточная Украина;49.212776;37.256943
Чугуев;Харьковская область;Восточная Украина;49.835556;36.68639
Первомайский;Харьковская область;Восточная Украина;49.389767;36.212727
Балаклея;Харьковская область;Восточная Украина;49.459057;36.844929
Мерефа;Харьковская область;Восточная Украина;49.814953;36.058899
Красноград;Харьковская область;Восточная Украина;49.366669;35.450001
Песочин;Харьковская область;Восточная Украина;49.953888;36.109165
Волчанск;Харьковская область;Восточная Украина;50.300278;36.946667
Дергачи;Харьковская область;Восточная Украина;50.110157;36.093513
Богодухов;Харьковская область;Восточная Украина;50.160831;35.516388
Змиёв;Харьковская область;Восточная Украина;49.694405;36.359547
Комсомольское;Харьковская область;Восточная Украина;49.598331;36.528057
Солоницевка;Харьковская область;Восточная Украина;49.996334;36.035149
Высокий;Харьковская область;Восточная Украина;49.884998;36.111111
Кременная;Луганская область;Восточная Украина;49.049999;38.221111
Лутугино;Луганская область;Восточная Украина;48.402279;39.209122
Молодогвардейск;Луганская область;Восточная Украина;48.344444;39.658333
Петровское;Луганская область;Восточная Украина;48.305401;38.892288
Сватово;Луганская область;Восточная Украина;49.416668;38.150002
Старобельск;Луганская область;Восточная Украина;49.283333;38.916668
Алчевск;Луганская область;Восточная Украина;48.466667;38.799999
Антрацит;Луганская область;Восточная Украина;48.133602;39.095322
Брянка;Луганская область;Восточная Украина;48.513332;38.643055
Красный Луч;Луганская область;Восточная Украина;48.133331;38.933334
Краснодон;Луганская область;Восточная Украина;48.299999;39.733334
Лисичанск;Луганская область;Восточная Украина;48.913696;38.434643
Луганск;Луганская область;Восточная Украина;48.566666;39.299999
Первомайск;Луганская область;Восточная Украина;48.629723;38.561943
Ровеньки;Луганская область;Восточная Украина;48.083332;39.366669
Рубежное;Луганская область;Восточная Украина;49.01086;38.374069
Свердловск;Луганская область;Восточная Украина;48.084549;39.65163
Северодонецк;Луганская область;Восточная Украина;48.933334;38.5
Стаханов;Луганская область;Восточная Украина;48.566666;38.650002
Новодружеск;Луганская область;Восточная Украина;48.966667;38.349998
Днепропетровск;Днепропетровская область;Восточная Украина;48.450001;34.983334
Кривой Рог;Днепропетровская область;Восточная Украина;48.020336;33.45372
Днепродзержинск;Днепропетровская область;Восточная Украина;48.516666;34.616669
Никополь;Днепропетровская область;Восточная Украина;47.566666;34.400002
Павлоград;Днепропетровская область;Восточная Украина;48.521645;35.893383
Новомосковск;Днепропетровская область;Восточная Украина;48.633331;35.216667
Жёлтые Воды;Днепропетровская область;Восточная Украина;48.349998;33.5
Марганец;Днепропетровская область;Восточная Украина;47.663128;34.617218
Орджоникидзе;Днепропетровская область;Восточная Украина;47.656883;34.054184
Синельниково;Днепропетровская область;Восточная Украина;48.322121;35.521801
Терновка;Днепропетровская область;Восточная Украина;48.517799;36.07869
Вольногорск;Днепропетровская область;Восточная Украина;48.483334;34.016666
Верхнеднепровск;Днепропетровская область;Восточная Украина;48.652851;34.33604
Авдеевка;Донецкая область;Восточная Украина;48.142483;37.748463
Артёмовск;Донецкая область;Восточная Украина;48.606945;37.997044
Горловка;Донецкая область;Восточная Украина;48.328033;38.046005
Дебальцево;Донецкая область;Восточная Украина;48.333332;38.400002
Дзержинск;Донецкая область;Восточная Украина;48.394711;37.844364
Димитров;Донецкая область;Восточная Украина;48.305847;37.271065
Доброполье;Донецкая область;Восточная Украина;48.799999;37.183334
Докучаевск;Донецкая область;Восточная Украина;47.768002;37.683666
Донецк;Донецкая область;Восточная Украина;48.002777;37.805279
Дружковка;Донецкая область;Восточная Украина;48.616669;37.533333
Енакиево;Донецкая область;Восточная Украина;48.216667;38.200001
Кировское;Донецкая область;Восточная Украина;48.150002;38.366669
Константиновка;Донецкая область;Восточная Украина;48.51754;37.695026
Краматорск;Донецкая область;Восточная Украина;48.744835;37.595497
Красноармейск;Донецкая область;Восточная Украина;48.281029;37.173351
Красный Лиман;Донецкая область;Восточная Украина;48.980747;37.81562
Макеевка;Донецкая область;Восточная Украина;48.053108;37.947506
Мариуполь;Донецкая область;Восточная Украина;47.116669;37.549999
Новогродовка;Донецкая область;Восточная Украина;48.20454;37.336823
Селидово;Донецкая область;Восточная Украина;48.144672;37.297897
Славянск;Донецкая область;Восточная Украина;48.839588;37.569221
Снежное;Донецкая область;Восточная Украина;48.028278;38.76561
Торез;Донецкая область;Восточная Украина;48.031055;38.624321
Угледар;Донецкая область;Восточная Украина;47.783333;37.25
Харцызск;Донецкая область;Восточная Украина;48.042294;38.146065
Шахтёрск;Донецкая область;Восточная Украина;48.070213;38.422352
Ясиноватая;Донецкая область;Восточная Украина;48.127293;37.853649
Запорожье;Запорожская область;Восточная Украина;47.833332;35.166668
Мелитополь;Запорожская область;Восточная Украина;46.833332;35.366669
Бердянск;Запорожская область;Восточная Украина;46.758369;36.808067
Энергодар;Запорожская область;Восточная Украина;47.49799;34.656532
Токмак;Запорожская область;Восточная Украина;47.25;35.700001
Днепрорудное;Запорожская область;Восточная Украина;47.386902;34.995564
Гуляйполе;Запорожская область;Восточная Украина;47.663155;36.261192
Каменка-Днепровская;Запорожская область;Восточная Украина;47.4772;34.423546
Приморск;Запорожская область;Восточная Украина;46.729881;36.366516
Николаев;Николаевская область;Восточная Украина;46.966667;32
Первомайск;Николаевская область;Восточная Украина;48.04361;30.859224
Вознесенск;Николаевская область;Восточная Украина;47.566933;31.326382
Южноукраинск;Николаевская область;Восточная Украина;47.816666;31.183332
Новый Буг;Николаевская область;Восточная Украина;47.683334;32.5
Баштанка;Николаевская область;Восточная Украина;47.400002;32.450001
Арбузинка;Николаевская область;Восточная Украина;47.906666;31.313057
Херсон;Херсонская область;Восточная Украина;46.633331;32.583332
Новая Каховка;Херсонская область;Восточная Украина;46.766666;33.366669
Каховка;Херсонская область;Восточная Украина;46.809837;33.483078
Цюрупинск;Херсонская область;Восточная Украина;46.621349;32.697884
Геническ;Херсонская область;Восточная Украина;46.166668;34.799999
Скадовск;Херсонская область;Восточная Украина;46.116669;32.916668
Голая Пристань;Херсонская область;Восточная Украина;46.516666;32.516666
Таврийск;Херсонская область;Восточная Украина;46.754036;33.420582
Новотроицкое;Херсонская область;Восточная Украина;46.354443;34.336109
Белозёрка;Херсонская область;Восточная Украина;46.629166;32.440277
Великая Лепетиха;Херсонская область;Восточная Украина;47.176006;33.944412
Одесса;Одесская область;Восточная Украина;46.466667;30.733334
Измаил;Одесская область;Восточная Украина;45.351665;28.83639
Ильичёвск;Одесская область;Восточная Украина;46.3055;30.662245
Белгород-Днестровский;Одесская область;Восточная Украина;46.186779;30.328447
Котовск;Одесская область;Восточная Украина;47.75;29.533333
Южное;Одесская область;Восточная Украина;46.624496;31.102903
Килия;Одесская область;Восточная Украина;45.467175;29.258871
Раздельная;Одесская область;Восточная Украина;46.84861;30.079166
Болград;Одесская область;Восточная Украина;45.677937;28.630095
Беляевка;Одесская область;Восточная Украина;46.473122;30.214037
Овидиополь;Одесская область;Восточная Украина;46.24472;30.444721
Теплодар;Одесская область;Восточная Украина;46.5;30.333332
Вилково;Одесская область;Восточная Украина;45.400002;29.583332
Алупка;Крым;Крымский федеральный округ;44.419724;34.043056
Алушта;Крым;Крымский федеральный округ;44.676384;34.410049
Армянск;Крым;Крымский федеральный округ;46.107224;33.693333
Бахчисарай;Крым;Крымский федеральный округ;44.752777;33.860832
Джанкой;Крым;Крымский федеральный округ;45.708611;34.393333
Евпатория;Крым;Крымский федеральный округ;45.190449;33.366867
Керчь;Крым;Крымский федеральный округ;45.355316;36.470833
Красноперекопск;Крым;Крымский федеральный округ;45.954948;33.79982
Саки;Крым;Крымский федеральный округ;45.13361;33.577221
Севастополь;Севастополь;Крымский федеральный округ;44.50885;33.60051
Симферополь;Крым;Крымский федеральный округ;44.952118;34.102417
Судак;Крым;Крымский федеральный округ;44.850468;34.976185
Феодосия;Крым;Крымский федеральный округ;45.031933;35.382435
Щёлкино;Крым;Крымский федеральный округ;45.428101;35.816521
Ялта;Крым;Крымский федеральный округ;44.497601;34.169918
Добромиль;Львовская область;Западная Украина;49.566666;22.783333
Научный;Крым;Крымский федеральный округ;44.725834;34.011665
Укромное;Крым;Крымский федеральный округ;45.048058;34.000278
Узин;Киевская область;Центральная Украина;49.819122;30.426052
Барышевка;Киевская область;Центральная Украина;50.348984;31.323385
Мамаевцы;Черновицкая область;Западная Украина;48.350277;25.825556
Беспятное;Киевская область;Центральная Украина;50.160831;30.26
Овлаши;Сумская область;Центральная Украина;50.765244;33.421181
Курахово;Донецкая область;Восточная Украина;47.983334;37.266666
Оноковцы;Закарпатская область;Западная Украина;48.654167;22.341667
Перечин;Закарпатская область;Западная Украина;48.734165;22.474167
Великий Берёзный;Закарпатская область;Западная Украина;48.893612;22.4575
Пустомыты;Львовская область;Западная Украина;49.71389;23.910833
Мостиска;Львовская область;Западная Украина;49.794167;23.1525
Галич;Ивано-Франковская область;Западная Украина;49.125053;24.729639
Лугины;Житомирская область;Центральная Украина;51.081657;28.3985
Шаргород;Винницкая область;Центральная Украина;48.740124;28.08696
Черневцы;Винницкая область;Центральная Украина;48.542778;28.1075
Бородянка;Киевская область;Центральная Украина;50.64389;29.933889
Макаров;Киевская область;Центральная Украина;50.461979;29.818146
Чернобыль;Киевская область;Центральная Украина;51.261925;30.236046
Катеринополь;Черкасская область;Центральная Украина;48.948158;30.962494
Доманёвка;Николаевская область;Восточная Украина;47.627499;30.978611
Недригайлов;Сумская область;Центральная Украина;50.834721;33.876945
Валки;Харьковская область;Восточная Украина;49.840019;35.613464
Близнюки;Харьковская область;Восточная Украина;48.856113;36.556622
Кегичёвка;Харьковская область;Восточная Украина;49.285831;35.762222
Краснокутск;Харьковская область;Восточная Украина;50.056667;35.149166
Амвросиевка;Донецкая область;Восточная Украина;47.790432;38.473763
Белокуракино;Луганская область;Восточная Украина;49.538006;38.712852
Марковка;Луганская область;Восточная Украина;49.525276;39.555557
Нижнегорский;Крым;Крымский федеральный округ;45.448811;34.73642
Лиманское;Одесская область;Восточная Украина;46.663891;29.970833
Зазимье;Киевская область;Центральная Украина;50.568054;30.683332
Гагарин;Смоленская область;Центральный федеральный округ;55.550911;35.014992
Бабаево;Вологодская область;Северо-Западный федеральный округ;59.38533;35.950722
Багаевский;Ростовская область;Южный федеральный округ;47.2668;40.407749
Гаврилов-ям;Ярославская область;Центральный федеральный округ;57.30212;39.8568
Абакан;Республика Хакасия;Сибирский федеральный округ;53.729172;91.461189
Баргузин;Республика Бурятия;Сибирский федеральный округ;53.62495;109.627777
Барнаул;Алтайский край;Сибирский федеральный округ;53.356339;83.76165
Гай;Оренбургская область;Приволжский федеральный округ;51.467739;58.454739
Балабаново;Калужская область;Центральный федеральный округ;55.17662;36.64925
Балаково;Саратовская область;Приволжский федеральный округ;52.021069;47.805759
Балахна;Нижегородская область;Приволжский федеральный округ;56.480728;43.54039
Балашиха;Московская область;Центральный федеральный округ;55.820381;37.96891
Балашов;Саратовская область;Приволжский федеральный округ;51.537449;43.15287
Байконур;Республика Алтай;Сибирский федеральный округ;45.628231;63.304562
Абинск;Краснодарский край;Южный федеральный округ;44.864922;38.17186
Валуйки;Белгородская область;Центральный федеральный округ;50.213268;38.10199
Галенки;Приморский край;Дальневосточный федеральный округ;44.072861;131.788712
Ванино;Хабаровский край;Дальневосточный федеральный округ;49.09436;140.261108
Батайск;Ростовская область;Южный федеральный округ;47.138779;39.754719
Гатчина;Ленинградская область;Северо-Западный федеральный округ;59.559879;30.138559
Азов;Ростовская область;Южный федеральный округ;47.099049;39.438629
Взморье;Калининградская область;Северо-Западный федеральный округ;54.697315;20.245184
Братск;Иркутская область;Сибирский федеральный округ;56.169659;101.591637
Арзгир;Ставропольский край;Северо-Кавказский федеральный округ;45.368793;44.218266
Арзамас;Нижегородская область;Приволжский федеральный округ;55.40321;43.83614
Армавир;Краснодарский край;Южный федеральный округ;44.996361;41.120628
Грозный;Республика Чечня;Северо-Кавказский федеральный округ;43.309841;45.670391
Бронницы;Московская область;Центральный федеральный округ;55.419441;38.27673
Арсеньев;Приморский край;Дальневосточный федеральный округ;44.161789;133.285507
Архангельск;Архангельская область;Северо-Западный федеральный округ;64.536926;40.565571
Артем;Приморский край;Дальневосточный федеральный округ;43.355728;132.186676
Артемовский;Свердловская область;Уральский федеральный округ;57.338169;61.903481
Гремячинск;Пермский край;Приволжский федеральный округ;58.566589;57.841808
Грязовец;Вологодская область;Северо-Западный федеральный округ;58.88229;40.247372
Брянск;Брянская область;Центральный федеральный округ;53.310661;34.300369
Благовещенск;Амурская область;Дальневосточный федеральный округ;50.27494;127.534142
Благодарный;Ставропольский край;Северо-Кавказский федеральный округ;45.10006;43.42812
Глазов;Республика Удмуртия;Приволжский федеральный округ;58.135288;52.662441
Алапаевск;Свердловская область;Уральский федеральный округ;57.854118;61.70573
Алатырь;Республика Чувашия;Приволжский федеральный округ;54.845501;46.567631
Владивосток;Приморский край;Дальневосточный федеральный округ;43.130692;131.923828
Владикавказ;Республика Северная Осетия (Алания);Северо-Кавказский федеральный округ;43.031231;44.67577
Владимир;Владимирская область;Центральный федеральный округ;56.127701;40.407558
Биробиджан;Еврейская автономная область;Дальневосточный федеральный округ;48.800671;132.899139
Бирск;Республика Башкортостан;Приволжский федеральный округ;55.417511;55.5452
Бийск;Алтайский край;Сибирский федеральный округ;52.541302;85.217003
Вилючинск;Камчатский край;Дальневосточный федеральный округ;52.939831;158.409012
Аксай;Ростовская область;Южный федеральный округ;47.266918;39.869141
