Название города;Регион;Округ;Широта;Долгота
Вихоревка;Иркутская область;Сибирский федеральный округ;56.110722;101.18026
Альметьевск;Республика Татарстан;Приволжский федеральный округ;54.893219;52.34623
Александров;Владимирская область;Центральный федеральный округ;56.396759;38.72419
Александровск;Пермский край;Приволжский федеральный округ;59.159248;57.604019
Александровск-Сахалинский;Сахалинская область;Дальневосточный федеральный округ;50.90081;142.152023
Александровское;Ставропольский край;Северо-Кавказский федеральный округ;44.716492;43.016281
Алейск;Алтайский край;Сибирский федеральный округ;52.473621;82.757919
Алексин;Тульская область;Центральный федеральный округ;54.509521;37.061691
Алексеевка;Белгородская область;Центральный федеральный округ;50.634239;38.714161
Алдан;Республика Саха (Якутия);Дальневосточный федеральный округ;58.602169;125.368713
Видное;Московская область;Центральный федеральный округ;55.556728;37.712471
Ангарск;Иркутская область;Сибирский федеральный округ;52.541672;103.919548
Бобров;Воронежская область;Центральный федеральный округ;51.09211;40.035061
Анапа;Краснодарский край;Южный федеральный округ;44.89502;37.331039
Богородск;Нижегородская область;Приволжский федеральный округ;56.099628;43.507339
Апатиты;Мурманская область;Северо-Западный федеральный округ;67.57962;33.39098
Богучар;Воронежская область;Центральный федеральный округ;49.93737;40.559261
Богданович;Свердловская область;Уральский федеральный округ;56.78656;62.041012
Анадырь;Чукотский автономный округ;Дальневосточный федеральный округ;64.736656;177.477371
Бор;Нижегородская область;Приволжский федеральный округ;56.360352;44.059029
Борисоглебск;Воронежская область;Центральный федеральный округ;51.36594;42.08054
Воркута;Республика Коми;Северо-Западный федеральный округ;67.485046;64.029739
Боровичи;Новгородская область;Северо-Западный федеральный округ;58.395012;33.901199
Боровск;Калужская область;Центральный федеральный округ;55.202061;36.479431
Воробьевка;Воронежская область;Центральный федеральный округ;50.643921;40.945179
Горно-Алтайск;Республика Алтай;Сибирский федеральный округ;51.958118;85.971291
Горнозаводск;Пермский край;Приволжский федеральный округ;58.37532;58.322899
Воронеж;Воронежская область;Центральный федеральный округ;51.660019;39.197411
Городище;Волгоградская область;Южный федеральный округ;48.800549;44.478378
Городец;Нижегородская область;Приволжский федеральный округ;56.65015;43.470402
Анива;Сахалинская область;Дальневосточный федеральный округ;46.718601;142.525467
Волгоград;Волгоградская область;Южный федеральный округ;48.718079;44.504639
Волгодонск;Ростовская область;Южный федеральный округ;47.519039;42.141178
Голицыно;Московская область;Центральный федеральный округ;55.609516;36.983971
Бологое;Тверская область;Центральный федеральный округ;57.876301;34.073887
Вологда;Вологодская область;Северо-Западный федеральный округ;59.21524;39.876709
Волоколамск;Московская область;Центральный федеральный округ;56.04567;35.943951
Волоконовка;Белгородская область;Центральный федеральный округ;50.481941;37.862499
Волосово;Ленинградская область;Северо-Западный федеральный округ;59.447491;29.468691
Волхов;Ленинградская область;Северо-Западный федеральный округ;59.925339;32.32962
Вольно-Надеждинское;Приморский край;Дальневосточный федеральный округ;43.376041;131.986115
Вольск;Саратовская область;Приволжский федеральный округ;52.044861;47.376011
Большой Камень;Приморский край;Дальневосточный федеральный округ;43.110992;132.347
Волжск;Республика Марий Эл;Приволжский федеральный округ;55.870419;48.356049
Волжский;Волгоградская область;Южный федеральный округ;48.79509;44.80069
Анна;Воронежская область;Центральный федеральный округ;51.485352;40.43288
Воскресенск;Московская область;Центральный федеральный округ;55.317539;38.685928
Воскресенское;Московская область;Центральный федеральный округ;55.425728;38.057396
Амурск;Хабаровский край;Дальневосточный федеральный округ;50.22578;136.907104
Воткинск;Республика Удмуртия;Приволжский федеральный округ;57.057541;53.99511
Внуково;Московская область;Центральный федеральный округ;55.606899;37.310719
Бодайбо;Иркутская область;Сибирский федеральный округ;57.84745;114.17617
Анжеро-Судженск;Кемеровская область;Сибирский федеральный округ;56.064411;86.023369
Асбест;Свердловская область;Уральский федеральный округ;57.00568;61.469711
Астрахань;Астраханская область;Южный федеральный округ;46.354889;48.052719
Всеволожск;Ленинградская область;Северо-Западный федеральный округ;60.031422;30.63961
Губаха;Пермский край;Приволжский федеральный округ;58.864891;57.603008
Губкин;Белгородская область;Центральный федеральный округ;51.275436;37.560936
Бузулук;Оренбургская область;Приволжский федеральный округ;52.78524;52.25264
Вурнары;Республика Чувашия;Приволжский федеральный округ;55.488831;46.963989
Аткарск;Саратовская область;Приволжский федеральный округ;51.864201;44.990952
Буйнакск;Республика Дагестан;Северо-Кавказский федеральный округ;42.820629;47.117901
Гуково;Ростовская область;Южный федеральный округ;47.986641;39.939968
Гулькевичи;Краснодарский край;Южный федеральный округ;45.35358;40.694469
Гусиноозерск;Республика Бурятия;Сибирский федеральный округ;51.284081;106.526382
Гусь Хрустальный;Владимирская область;Центральный федеральный округ;55.61684;40.672661
Бутурлиновка;Воронежская область;Центральный федеральный округ;50.830631;40.586498
Гудермес;Республика Чечня;Северо-Кавказский федеральный округ;43.347652;46.093826
Буденновск;Ставропольский край;Северо-Кавказский федеральный округ;44.780739;44.148499
Выборг;Ленинградская область;Северо-Западный федеральный округ;60.703701;28.771061
Вырица;Ленинградская область;Северо-Западный федеральный округ;59.402569;30.34053
Выкса;Нижегородская область;Приволжский федеральный округ;55.319511;42.173
Выселки;Краснодарский край;Южный федеральный округ;45.58057;39.657551
Вышний Волочек;Тверская область;Центральный федеральный округ;57.591518;34.5564
"Аэропорт ""Домодедово""";Московская область;Центральный федеральный округ;55.417953;37.907005
Верхний Уфалей;Челябинская область;Уральский федеральный округ;56.049999;60.233334
Верхняя Пышма;Свердловская область;Уральский федеральный округ;57.1199;60.601101
Верхняя Салда;Свердловская область;Уральский федеральный округ;58.045601;60.553299
Березовка;Пермский край;Приволжский федеральный округ;57.602451;57.302979
Березовский;Свердловская область;Уральский федеральный округ;56.912811;60.804699
Березовский;Кемеровская область;Сибирский федеральный округ;55.572479;86.192734
Березники;Пермский край;Приволжский федеральный округ;59.40147;56.79948
Бердск;Новосибирская область;Сибирский федеральный округ;54.76355;83.103447
Белгород;Белгородская область;Центральный федеральный округ;50.596611;36.609211
Белая Калитва;Ростовская область;Южный федеральный округ;48.19244;40.773819
Великий Новгород;Новгородская область;Северо-Западный федеральный округ;58.544971;31.269119
Великий Устюг;Вологодская область;Северо-Западный федеральный округ;60.763229;46.307789
Великие Луки;Псковская область;Северо-Западный федеральный округ;56.346821;30.539
Белово;Кемеровская область;Сибирский федеральный округ;54.37674;86.349159
Белогорск;Амурская область;Дальневосточный федеральный округ;50.919991;128.469193
Белорецк;Республика Башкортостан;Приволжский федеральный округ;53.967201;58.416611
Белореченск;Краснодарский край;Южный федеральный округ;44.75425;39.885448
Вельск;Архангельская область;Северо-Западный федеральный округ;61.066971;42.10183
Геленджик;Краснодарский край;Южный федеральный округ;44.577709;38.080212
Георгиевск;Ставропольский край;Северо-Кавказский федеральный округ;44.14735;43.46875
Беслан;Республика Северная Осетия (Алания);Северо-Кавказский федеральный округ;43.192921;44.531033
Веселый;Ростовская область;Южный федеральный округ;47.32991;39.302719
Вешенская;Ростовская область;Южный федеральный округ;49.630821;41.726101
Адлер;Краснодарский край;Южный федеральный округ;43.44722;39.914539
Аша;Челябинская область;Уральский федеральный округ;55.002319;57.224812
Ачинск;Красноярский край;Сибирский федеральный округ;56.28236;90.517052
Вязьма;Смоленская область;Центральный федеральный округ;55.2122;34.309429
Вятские Поляны;Кировская область;Приволжский федеральный округ;56.221481;51.072689
Забайкальск;Забайкальский край;Сибирский федеральный округ;49.655739;117.322144
Заволжье;Нижегородская область;Приволжский федеральный округ;56.642479;43.392841
Зарайск;Московская область;Центральный федеральный округ;54.760559;38.882904
Заринск;Алтайский край;Сибирский федеральный округ;53.70895;84.967278
Заречный;Пензенская область;Приволжский федеральный округ;53.201141;45.192661
Заполярный;Мурманская область;Северо-Западный федеральный округ;69.429283;30.83742
Звенигород;Московская область;Центральный федеральный округ;55.731331;36.866138
Златоуст;Челябинская область;Уральский федеральный округ;55.186119;59.646099
Зима;Иркутская область;Сибирский федеральный округ;53.922371;102.048363
Зимовники;Ростовская область;Южный федеральный округ;47.160622;42.474232
Зерноград;Ростовская область;Южный федеральный округ;46.853531;40.310371
Зеленоград;Московская область;Центральный федеральный округ;55.988857;37.181683
Зеленогорск;Красноярский край;Сибирский федеральный округ;56.099998;94.583336
Зеленокумск;Ставропольский край;Северо-Кавказский федеральный округ;44.417599;43.869781
Раменское;Московская область;Центральный федеральный округ;55.565449;38.236851
Радужный;Владимирская область;Центральный федеральный округ;56.004391;40.33894
Радужный;Ханты-Мансийский автономный округ;Уральский федеральный округ;62.106319;77.480377
Романовская;Ростовская область;Южный федеральный округ;47.541531;42.029369
Рославль;Смоленская область;Центральный федеральный округ;53.951031;32.864399
Россошь;Воронежская область;Центральный федеральный округ;50.204361;39.5387
Ростов;Ярославская область;Центральный федеральный округ;57.19912;39.450359
Ростов-на-Дону;Ростовская область;Южный федеральный округ;47.233189;39.715
Родионово-Несветайская;Ростовская область;Южный федеральный округ;47.612862;39.706558
Рубцовск;Алтайский край;Сибирский федеральный округ;51.52113;81.202713
Руза;Московская область;Центральный федеральный округ;55.697941;36.203419
Рузаевка;Республика Мордовия;Приволжский федеральный округ;54.061378;44.959679
Румянцево;Московская область;Центральный федеральный округ;55.975849;36.547871
Рудня;Волгоградская область;Южный федеральный округ;50.79882;44.562672
Рыбинск;Ярославская область;Центральный федеральный округ;58.049999;38.833332
Ревда;Свердловская область;Уральский федеральный округ;56.811008;59.958149
Ремонтное;Ростовская область;Южный федеральный округ;46.565269;43.66362
Репьевка;Воронежская область;Центральный федеральный округ;51.07729;38.641441
Реутов;Московская область;Центральный федеральный округ;55.765011;37.873638
Ржакса;Тамбовская область;Центральный федеральный округ;52.128868;42.019459
Рязань;Рязанская область;Центральный федеральный округ;54.62466;39.738571
Ряжск;Рязанская область;Центральный федеральный округ;53.707821;40.05962
Кагальницкая;Ростовская область;Южный федеральный округ;46.881489;40.15295
Кавалерово;Приморский край;Дальневосточный федеральный округ;44.268311;135.045761
Кабанск;Республика Бурятия;Сибирский федеральный округ;52.055775;106.63208
Иваново;Ивановская область;Центральный федеральный округ;56.992409;40.967789
Ивантеевка;Московская область;Центральный федеральный округ;55.986912;37.96954
Лабытнанги;Ямало-Ненецкий автономный округ;Уральский федеральный округ;66.650665;66.416008
Казанская;Ростовская область;Южный федеральный округ;49.795689;41.13982
Казань;Республика Татарстан;Приволжский федеральный округ;55.796539;49.1082
Казлук;Республика Коми;Северо-Западный федеральный округ;62.108921;49.329414
Карагай;Пермский край;Приволжский федеральный округ;58.27116;54.938831
Карабаш;Челябинская область;Уральский федеральный округ;55.455841;60.20385
Калач;Воронежская область;Центральный федеральный округ;50.42461;41.025509
Калач-на-дону;Волгоградская область;Южный федеральный округ;48.690392;43.523251
Калининград;Калининградская область;Северо-Западный федеральный округ;54.711594;20.509972
Калуга;Калужская область;Центральный федеральный округ;54.514679;36.27142
Калтан;Кемеровская область;Сибирский федеральный округ;53.52232;87.278084
Калязин;Тверская область;Центральный федеральный округ;57.24469;37.83757
Лангепас;Ханты-Мансийский автономный округ;Уральский федеральный округ;61.263542;75.211662
Канаш;Республика Чувашия;Приволжский федеральный округ;55.505409;47.499531
Канск;Красноярский край;Сибирский федеральный округ;56.20451;95.731941
Кантемировка;Воронежская область;Центральный федеральный округ;49.694309;39.860481
Камышин;Волгоградская область;Южный федеральный округ;50.082581;45.392681
Каневская;Краснодарский край;Южный федеральный округ;46.079369;38.969261
Каменоломни;Ростовская область;Южный федеральный округ;47.66843;40.2145
Каменск-Уральский;Свердловская область;Уральский федеральный округ;56.426479;61.908489
Каменск-Шахтинский;Ростовская область;Южный федеральный округ;48.319328;40.263828
Камень-Рыболов;Приморский край;Дальневосточный федеральный округ;44.745392;132.03688
Кандалакша;Мурманская область;Северо-Западный федеральный округ;67.158028;32.420479
Касимов;Рязанская область;Центральный федеральный округ;54.94421;41.40678
Кашары;Ростовская область;Южный федеральный округ;49.040451;41.003471
Кашира;Московская область;Центральный федеральный округ;54.84343;38.182961
Качканар;Свердловская область;Уральский федеральный округ;58.698349;59.489391
Изобильный;Ставропольский край;Северо-Кавказский федеральный округ;45.373009;41.710281
Красноармейск;Московская область;Центральный федеральный округ;56.106693;38.132935
Красновишерск;Пермский край;Приволжский федеральный округ;60.400269;57.086712
Красногорск;Московская область;Центральный федеральный округ;55.82074;37.34597
Краснознаменск;Московская область;Центральный федеральный округ;55.599998;37.033333
Краснокамск;Пермский край;Приволжский федеральный округ;58.079781;55.731541
Краснокаменск;Забайкальский край;Сибирский федеральный округ;50.09005;118.032578
Красноуральск;Свердловская область;Уральский федеральный округ;58.348961;60.051991
Краснотурьинск;Свердловская область;Уральский федеральный округ;59.763851;60.20549
Красноуфимск;Свердловская область;Уральский федеральный округ;56.60775;57.772541
Краснодар;Краснодарский край;Южный федеральный округ;45.042149;38.98064
Красноярск;Красноярский край;Сибирский федеральный округ;56.001251;92.88559
Красный Сулин;Ростовская область;Южный федеральный округ;47.895;40.06794
Красный Яр;Самарская область;Приволжский федеральный округ;53.494171;50.40229
Иркутск;Иркутская область;Сибирский федеральный округ;52.275261;104.30864
Крымск;Краснодарский край;Южный федеральный округ;44.939041;37.994843
Иланский;Красноярский край;Сибирский федеральный округ;56.239937;96.071991
Кизляр;Республика Дагестан;Северо-Кавказский федеральный округ;43.84465;46.718689
Кизел;Пермский край;Приволжский федеральный округ;59.043308;57.65451
Кириллов;Вологодская область;Северо-Западный федеральный округ;59.85117;38.383209
Кириши;Ленинградская область;Северо-Западный федеральный округ;59.448078;32.02845
Киров;Кировская область;Приволжский федеральный округ;58.596081;49.662659
Кировград;Свердловская область;Уральский федеральный округ;57.419956;60.087418
Кирово-Чепецк;Кировская область;Приволжский федеральный округ;58.54977;50.039799
Кировск;Ленинградская область;Северо-Западный федеральный округ;59.87315;30.99581
Кировск;Мурманская область;Северо-Западный федеральный округ;67.632599;33.72398
Кировский;Приморский край;Дальневосточный федеральный округ;45.095451;133.495911
Киржач;Владимирская область;Центральный федеральный округ;56.157429;38.869732
Клин;Московская область;Центральный федеральный округ;56.331741;36.721649
Климовск;Московская область;Центральный федеральный округ;55.363586;37.526226
Иловля;Волгоградская область;Южный федеральный округ;49.304409;43.983528
Кимры;Тверская область;Центральный федеральный округ;56.8773;37.342941
Линево;Новосибирская область;Сибирский федеральный округ;54.46064;83.385162
Кинель;Самарская область;Приволжский федеральный округ;53.218475;50.623631
Липецк;Липецкая область;Центральный федеральный округ;52.605949;39.587681
Кинешма;Ивановская область;Центральный федеральный округ;57.449749;42.13208
Лиски;Воронежская область;Центральный федеральный округ;50.981071;39.52573
Кисловодск;Ставропольский край;Северо-Кавказский федеральный округ;43.923;42.7244
Киселевск;Кемеровская область;Сибирский федеральный округ;54.015171;86.64064
Когалым;Ханты-Мансийский автономный округ;Уральский федеральный округ;62.24012;74.526901
Ковров;Владимирская область;Центральный федеральный округ;56.386719;41.310871
Лобня;Московская область;Центральный федеральный округ;56.01384;37.47438
Ипатово;Ставропольский край;Северо-Кавказский федеральный округ;45.717491;42.914841
Коркино;Челябинская область;Уральский федеральный округ;54.913631;61.43174
Королев;Московская область;Центральный федеральный округ;55.944397;37.864746
Корсаков;Сахалинская область;Дальневосточный федеральный округ;46.631454;142.796524
Коряжма;Архангельская область;Северо-Западный федеральный округ;61.316559;47.146042
Кола;Мурманская область;Северо-Западный федеральный округ;68.875862;33.083591
Коломна;Московская область;Центральный федеральный округ;55.094559;38.775768
Кольчугино;Владимирская область;Центральный федеральный округ;56.306469;39.372101
Конаково;Тверская область;Центральный федеральный округ;56.69405;36.785881
Комсомольск-на-Амуре;Хабаровский край;Дальневосточный федеральный округ;50.538212;137.016907
Константиновск;Ростовская область;Южный федеральный округ;47.58543;41.108101
Копейск;Челябинская область;Уральский федеральный округ;55.118832;61.623619
Кондопога;Республика Карелия;Северо-Западный федеральный округ;62.211479;34.26347
Лосино-Петровский;Московская область;Центральный федеральный округ;55.876171;38.209148
Кострома;Костромская область;Центральный федеральный округ;57.780739;40.936691
Инта;Республика Коми;Северо-Западный федеральный округ;66.033142;60.165611
Котово;Волгоградская область;Южный федеральный округ;50.314598;44.799004
Котовск;Тамбовская область;Центральный федеральный округ;52.591438;41.505241
Котельники;Московская область;Центральный федеральный округ;55.663799;37.858482
Котельниково;Волгоградская область;Южный федеральный округ;47.620949;43.14954
Инжавино;Тамбовская область;Центральный федеральный округ;52.320869;42.4963
Кодинск;Красноярский край;Сибирский федеральный округ;58.599998;99.183334
Йошкар-Ола;Республика Марий Эл;Приволжский федеральный округ;56.637501;47.891499
Искитим;Новосибирская область;Сибирский федеральный округ;54.640209;83.306343
Истра;Московская область;Центральный федеральный округ;55.774162;37.149395
Кстово;Нижегородская область;Приволжский федеральный округ;56.1516;44.195629
Луга;Ленинградская область;Северо-Западный федеральный округ;58.72802;29.84717
Куанда;Забайкальский край;Сибирский федеральный округ;56.33168;116.103592
Кузнецк;Пензенская область;Приволжский федеральный округ;53.117298;46.612091
Курагино;Красноярский край;Сибирский федеральный округ;53.89629;92.666702
Курган;Курганская область;Уральский федеральный округ;55.45369;65.342323
Курганинск;Краснодарский край;Южный федеральный округ;44.888649;40.59639
Курсавка;Ставропольский край;Северо-Кавказский федеральный округ;44.456131;42.504639
Курск;Курская область;Центральный федеральный округ;51.740261;36.184879
Курчатов;Курская область;Центральный федеральный округ;51.665218;35.6464
Куйбышев;Новосибирская область;Сибирский федеральный округ;55.454029;78.304626
Кулебаки;Нижегородская область;Приволжский федеральный округ;55.415501;42.529251
Купавна;Московская область;Центральный федеральный округ;55.745842;38.11797
Кунгур;Пермский край;Приволжский федеральный округ;57.42989;56.950008
Кумертау;Республика Башкортостан;Приволжский федеральный округ;52.769329;55.793468
Луховицы;Московская область;Центральный федеральный округ;54.962051;39.02673
Кудымкар;Пермский край;Приволжский федеральный округ;59.009411;54.668381
Кушва;Свердловская область;Уральский федеральный округ;58.28857;59.755299
Лучегорск;Приморский край;Дальневосточный федеральный округ;46.438591;134.301895
Кызыл;Республика Тыва (Тува);Сибирский федеральный округ;51.721909;94.417397
Лысково;Нижегородская область;Приволжский федеральный округ;56.012699;45.025341
Лысьва;Пермский край;Приволжский федеральный округ;58.10038;57.804329
Лыткарино;Московская область;Центральный федеральный округ;55.577759;37.90921
Кыштым;Челябинская область;Уральский федеральный округ;55.71859;60.549591
Левокумское;Ставропольский край;Северо-Кавказский федеральный округ;44.822273;44.654617
Лебедянь;Липецкая область;Центральный федеральный округ;53.005421;39.150589
Лермонтов;Ставропольский край;Северо-Кавказский федеральный округ;44.108204;42.95969
Лениногорск;Республика Татарстан;Приволжский федеральный округ;54.597561;52.458271
Ленинск;Волгоградская область;Южный федеральный округ;48.702221;45.204819
Ленинск-Кузнецкий;Кемеровская область;Сибирский федеральный округ;54.668171;86.179131
Ленск;Республика Саха (Якутия);Дальневосточный федеральный округ;60.72686;114.945312
Кемерово;Кемеровская область;Сибирский федеральный округ;55.371239;86.052437
Лесозаводск;Приморский край;Дальневосточный федеральный округ;45.483021;133.431641
Лесной;Свердловская область;Уральский федеральный округ;57.201637;60.763428
Лесосибирск;Красноярский край;Сибирский федеральный округ;58.24205;92.464928
Летняя Ставка;Ставропольский край;Северо-Кавказский федеральный округ;45.424969;43.442799
Ижевск;Республика Удмуртия;Приволжский федеральный округ;56.842609;53.224449
Ишимбай;Республика Башкортостан;Приволжский федеральный округ;53.452728;56.03434
Люберцы;Московская область;Центральный федеральный округ;55.683949;37.881088
п. Лесной Городок;Московская область;Центральный федеральный округ;55.641018;37.207718
Магадан;Магаданская область;Дальневосточный федеральный округ;59.55632;150.81308
Навашино;Нижегородская область;Приволжский федеральный округ;55.55175;42.191849
Павлово;Нижегородская область;Приволжский федеральный округ;55.961948;43.089901
Павловский Посад;Московская область;Центральный федеральный округ;55.780724;38.657387
Навля;Брянская область;Центральный федеральный округ;52.8195;34.483719
Магнитогорск;Челябинская область;Уральский федеральный округ;53.45932;59.082581
Набережные Челны;Республика Татарстан;Приволжский федеральный округ;55.73;52.43322
Назарово;Красноярский край;Сибирский федеральный округ;56.010929;90.395309
Назрань;Республика Ингушетия;Северо-Кавказский федеральный округ;43.216667;44.766666
Мариинск;Кемеровская область;Сибирский федеральный округ;56.21373;87.751587
Маркс;Саратовская область;Приволжский федеральный округ;51.70768;46.749199
Наро-Фоминск;Московская область;Центральный федеральный округ;55.383228;36.75568
Нарьян-Мар;Ненецкий автономный округ;Северо-Западный федеральный округ;67.669144;53.082001
Малаховка;Московская область;Центральный федеральный округ;55.649712;38.011131
Палласовка;Волгоградская область;Южный федеральный округ;50.044819;46.893799
Майкоп;Республика Адыгея;Южный федеральный округ;44.609138;40.113209
Малоярославец;Калужская область;Центральный федеральный округ;55.00919;36.476109
Нальчик;Республика Кабардино-Балкария;Северо-Кавказский федеральный округ;43.48695;43.602989
Панино;Воронежская область;Центральный федеральный округ;51.64584;40.140759
Обнинск;Калужская область;Центральный федеральный округ;55.100109;36.6241
Нахабино;Московская область;Центральный федеральный округ;55.837891;37.191662
Матвеев Курган;Ростовская область;Южный федеральный округ;47.571621;38.868889
Махачкала;Республика Дагестан;Северо-Кавказский федеральный округ;42.972759;47.493599
Находка;Приморский край;Дальневосточный федеральный округ;42.781738;132.8591
Обь;Новосибирская область;Сибирский федеральный округ;54.99651;82.729233
Надым;Ямало-Ненецкий автономный округ;Уральский федеральный округ;65.535423;72.543503
Озерск;Челябинская область;Уральский федеральный округ;55.755791;60.71413
Орлов;Кировская область;Приволжский федеральный округ;58.543629;48.895679
Орловский;Ростовская область;Южный федеральный округ;46.877541;42.055698
Приморско-Ахтарск;Краснодарский край;Южный федеральный округ;46.055119;38.19413
Прокопьевск;Кемеровская область;Сибирский федеральный округ;53.880951;86.727524
Протвино;Московская область;Центральный федеральный округ;54.86594;37.216572
Прохоровка;Белгородская область;Центральный федеральный округ;51.033333;36.733334
Орск;Оренбургская область;Приволжский федеральный округ;51.21838;58.62038
Орел;Орловская область;Центральный федеральный округ;52.968452;36.069492
Оренбург;Оренбургская область;Приволжский федеральный округ;51.768242;55.10371
Орехово-Зуево;Московская область;Центральный федеральный округ;55.807091;38.989471
Орда;Пермский край;Приволжский федеральный округ;57.195591;56.920021
Миасс;Челябинская область;Уральский федеральный округ;55.032791;60.121868
Мирный;Архангельская область;Северо-Западный федеральный округ;62.75893;40.339409
Мирный;Республика Саха (Якутия);Дальневосточный федеральный округ;62.530819;113.976181
Пикалево;Ленинградская область;Северо-Западный федеральный округ;56.587704;38.502499
Миллерово;Ростовская область;Южный федеральный округ;48.92363;40.40797
Николаевск;Волгоградская область;Южный федеральный округ;50.021641;45.46233
Николаевск-на-Амуре;Хабаровский край;Дальневосточный федеральный округ;53.1427;140.706406
Микунь;Республика Коми;Северо-Западный федеральный округ;62.359806;50.068817
Минусинск;Красноярский край;Сибирский федеральный округ;53.71405;91.712692
Минеральные Воды;Ставропольский край;Северо-Кавказский федеральный округ;44.214199;43.135109
Михайловка;Волгоградская область;Южный федеральный округ;50.06472;43.257641
Михайловка;Приморский край;Дальневосточный федеральный округ;43.930679;132.006943
Питкяранта;Республика Карелия;Северо-Западный федеральный округ;61.57349;31.47897
Михнево;Московская область;Центральный федеральный округ;55.12624;37.966881
Октябрьский;Республика Башкортостан;Приволжский федеральный округ;54.48505;53.455421
Октябрьский;Волгоградская область;Южный федеральный округ;47.969643;43.640747
Ольга;Приморский край;Дальневосточный федеральный округ;43.74754;135.28653
